symbol,exchange,segment
360ONE,NSE,MID_CAP
3MINDIA,NSE,MID_CAP
AADHARHFC,NSE,LARGE_CAP
AARTIIND,NSE,LARGE_CAP
AAVAS,NSE,LARGE_CAP
ABB,NSE,LARGE_CAP
ABBOTINDIA,NSE,MID_CAP
ABCAPITAL,NSE,MID_CAP
ABDL,NSE,LARGE_CAP
ABFRL,NSE,LARGE_CAP
ABLBL,NSE,LARGE_CAP
ABREL,NSE,LARGE_CAP
ABSLAMC,NSE,LARGE_CAP
ACC,NSE,MID_CAP
ACE,NSE,LARGE_CAP
ACMESOLAR,NSE,LARGE_CAP
ACUTAAS,NSE,LARGE_CAP
ADANIENSOL,NSE,LARGE_CAP
ADANIENT,NSE,LARGE_CAP
ADANIGREEN,NSE,LARGE_CAP
ADANIPORTS,NSE,LARGE_CAP
ADANIPOWER,NSE,LARGE_CAP
AEGISLOG,NSE,LARGE_CAP
AEGISVOPAK,NSE,LARGE_CAP
AFCONS,NSE,LARGE_CAP
AFFLE,NSE,LARGE_CAP
AIAENG,NSE,MID_CAP
AIIL,NSE,MID_CAP
AJANTPHARM,NSE,MID_CAP
ALKEM,NSE,MID_CAP
AMBER,NSE,LARGE_CAP
AMBUJACEM,NSE,LARGE_CAP
ANANDRATHI,NSE,LARGE_CAP
ANANTRAJ,NSE,LARGE_CAP
ANGELONE,NSE,LARGE_CAP
ANTHEM,NSE,MID_CAP
ANURAS,NSE,LARGE_CAP
APARINDS,NSE,MID_CAP
APLAPOLLO,NSE,MID_CAP
APOLLOHOSP,NSE,LARGE_CAP
APOLLOTYRE,NSE,MID_CAP
APTUS,NSE,LARGE_CAP
ARE&M,NSE,LARGE_CAP
ASAHIINDIA,NSE,LARGE_CAP
ASHOKLEY,NSE,MID_CAP
ASIANPAINT,NSE,LARGE_CAP
ASTERDM,NSE,LARGE_CAP
ASTRAL,NSE,MID_CAP
ATGL,NSE,MID_CAP
ATHERENERG,NSE,LARGE_CAP
ATUL,NSE,LARGE_CAP
AUBANK,NSE,MID_CAP
AUROPHARMA,NSE,MID_CAP
AWL,NSE,MID_CAP
AXISBANK,NSE,LARGE_CAP
BAJAJ-AUTO,NSE,LARGE_CAP
BAJAJFINSV,NSE,LARGE_CAP
BAJAJHFL,NSE,MID_CAP
BAJAJHLDNG,NSE,LARGE_CAP
BAJFINANCE,NSE,LARGE_CAP
BALKRISIND,NSE,MID_CAP
BALRAMCHIN,NSE,LARGE_CAP
BANDHANBNK,NSE,LARGE_CAP
BANKBARODA,NSE,LARGE_CAP
BANKINDIA,NSE,MID_CAP
BATAINDIA,NSE,LARGE_CAP
BAYERCROP,NSE,LARGE_CAP
BBTC,NSE,LARGE_CAP
BDL,NSE,MID_CAP
BEL,NSE,LARGE_CAP
BELRISE,NSE,LARGE_CAP
BEML,NSE,LARGE_CAP
BERGEPAINT,NSE,MID_CAP
BHARATFORG,NSE,MID_CAP
BHARTIARTL,NSE,LARGE_CAP
BHARTIHEXA,NSE,MID_CAP
BHEL,NSE,MID_CAP
BIKAJI,NSE,LARGE_CAP
BIOCON,NSE,MID_CAP
BLS,NSE,LARGE_CAP
BLUEDART,NSE,LARGE_CAP
BLUEJET,NSE,LARGE_CAP
BLUESTARCO,NSE,MID_CAP
BOSCHLTD,NSE,LARGE_CAP
BPCL,NSE,LARGE_CAP
BRIGADE,NSE,LARGE_CAP
BRITANNIA,NSE,LARGE_CAP
BSE,NSE,MID_CAP
BSOFT,NSE,LARGE_CAP
CAMS,NSE,LARGE_CAP
CANBK,NSE,LARGE_CAP
CANFINHOME,NSE,LARGE_CAP
CANHLIFE,NSE,LARGE_CAP
CAPLIPOINT,NSE,LARGE_CAP
CARBORUNIV,NSE,LARGE_CAP
CARTRADE,NSE,LARGE_CAP
CASTROLIND,NSE,LARGE_CAP
CCL,NSE,LARGE_CAP
CDSL,NSE,LARGE_CAP
CEATLTD,NSE,LARGE_CAP
CEMPRO,NSE,LARGE_CAP
CENTRALBK,NSE,LARGE_CAP
CESC,NSE,LARGE_CAP
CGCL,NSE,LARGE_CAP
CGPOWER,NSE,LARGE_CAP
CHALET,NSE,LARGE_CAP
CHAMBLFERT,NSE,LARGE_CAP
CHENNPETRO,NSE,LARGE_CAP
CHOICEIN,NSE,LARGE_CAP
CHOLAFIN,NSE,LARGE_CAP
CHOLAHLDNG,NSE,LARGE_CAP
CIEINDIA,NSE,LARGE_CAP
CIPLA,NSE,LARGE_CAP
CLEAN,NSE,LARGE_CAP
COALINDIA,NSE,LARGE_CAP
COCHINSHIP,NSE,MID_CAP
COFORGE,NSE,MID_CAP
COHANCE,NSE,LARGE_CAP
COLPAL,NSE,MID_CAP
CONCOR,NSE,MID_CAP
CONCORDBIO,NSE,LARGE_CAP
COROMANDEL,NSE,MID_CAP
CPPLUS,NSE,LARGE_CAP
CRAFTSMAN,NSE,LARGE_CAP
CREDITACC,NSE,LARGE_CAP
CRISIL,NSE,MID_CAP
CROMPTON,NSE,LARGE_CAP
CUB,NSE,LARGE_CAP
CUMMINSIND,NSE,LARGE_CAP
CYIENT,NSE,LARGE_CAP
DABUR,NSE,MID_CAP
DALBHARAT,NSE,MID_CAP
DATAPATTNS,NSE,LARGE_CAP
DCMSHRIRAM,NSE,LARGE_CAP
DEEPAKFERT,NSE,LARGE_CAP
DEEPAKNTR,NSE,LARGE_CAP
DELHIVERY,NSE,LARGE_CAP
DEVYANI,NSE,LARGE_CAP
DIVISLAB,NSE,LARGE_CAP
DIXON,NSE,MID_CAP
DLF,NSE,LARGE_CAP
DMART,NSE,LARGE_CAP
DOMS,NSE,LARGE_CAP
DRREDDY,NSE,LARGE_CAP
DUMMYVEDL1,NSE,LARGE_CAP
DUMMYVEDL2,NSE,LARGE_CAP
DUMMYVEDL3,NSE,LARGE_CAP
DUMMYVEDL4,NSE,LARGE_CAP
ECLERX,NSE,LARGE_CAP
EICHERMOT,NSE,LARGE_CAP
EIDPARRY,NSE,LARGE_CAP
EIHOTEL,NSE,LARGE_CAP
ELECON,NSE,LARGE_CAP
ELGIEQUIP,NSE,LARGE_CAP
EMAMILTD,NSE,LARGE_CAP
EMCURE,NSE,LARGE_CAP
EMMVEE,NSE,LARGE_CAP
ENDURANCE,NSE,MID_CAP
ENGINERSIN,NSE,LARGE_CAP
ENRIN,NSE,LARGE_CAP
ERIS,NSE,LARGE_CAP
ESCORTS,NSE,MID_CAP
ETERNAL,NSE,LARGE_CAP
EXIDEIND,NSE,MID_CAP
FACT,NSE,LARGE_CAP
FEDERALBNK,NSE,MID_CAP
FINCABLES,NSE,LARGE_CAP
FIRSTCRY,NSE,LARGE_CAP
FIVESTAR,NSE,LARGE_CAP
FLUOROCHEM,NSE,MID_CAP
FORCEMOT,NSE,LARGE_CAP
FORTIS,NSE,MID_CAP
FSL,NSE,LARGE_CAP
GABRIEL,NSE,LARGE_CAP
GAIL,NSE,LARGE_CAP
GALLANTT,NSE,LARGE_CAP
GESHIP,NSE,LARGE_CAP
GICRE,NSE,MID_CAP
GILLETTE,NSE,LARGE_CAP
GLAND,NSE,LARGE_CAP
GLAXO,NSE,MID_CAP
GLENMARK,NSE,MID_CAP
GMDCLTD,NSE,LARGE_CAP
GMRAIRPORT,NSE,MID_CAP
GODFRYPHLP,NSE,MID_CAP
GODIGIT,NSE,LARGE_CAP
GODREJCP,NSE,LARGE_CAP
GODREJIND,NSE,MID_CAP
GODREJPROP,NSE,MID_CAP
GPIL,NSE,LARGE_CAP
GRANULES,NSE,LARGE_CAP
GRAPHITE,NSE,LARGE_CAP
GRASIM,NSE,LARGE_CAP
GRAVITA,NSE,LARGE_CAP
GROWW,NSE,MID_CAP
GRSE,NSE,LARGE_CAP
GVT&D,NSE,MID_CAP
HAL,NSE,LARGE_CAP
HAVELLS,NSE,MID_CAP
HBLENGINE,NSE,LARGE_CAP
HCLTECH,NSE,LARGE_CAP
HDBFS,NSE,MID_CAP
HDFCAMC,NSE,LARGE_CAP
HDFCBANK,NSE,LARGE_CAP
HDFCLIFE,NSE,LARGE_CAP
HEG,NSE,LARGE_CAP
HEROMOTOCO,NSE,MID_CAP
HEXT,NSE,MID_CAP
HFCL,NSE,LARGE_CAP
HINDALCO,NSE,LARGE_CAP
HINDCOPPER,NSE,LARGE_CAP
HINDPETRO,NSE,MID_CAP
HINDUNILVR,NSE,LARGE_CAP
HINDZINC,NSE,LARGE_CAP
HOMEFIRST,NSE,LARGE_CAP
HONASA,NSE,LARGE_CAP
HONAUT,NSE,MID_CAP
HSCL,NSE,LARGE_CAP
HUDCO,NSE,MID_CAP
HYUNDAI,NSE,LARGE_CAP
ICICIAMC,NSE,MID_CAP
ICICIBANK,NSE,LARGE_CAP
ICICIGI,NSE,MID_CAP
ICICIPRULI,NSE,MID_CAP
IDBI,NSE,LARGE_CAP
IDEA,NSE,MID_CAP
IDFCFIRSTB,NSE,MID_CAP
IEX,NSE,LARGE_CAP
IFCI,NSE,LARGE_CAP
IGIL,NSE,LARGE_CAP
IGL,NSE,LARGE_CAP
IIFL,NSE,LARGE_CAP
